City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Broome,42.25,-75.83,62.01,77,90,8.05,US,2020-09-13 02:13:00
1,Meadow Lake,34.8,-106.54,73.4,18,75,4.7,US,2020-09-13 02:13:00
2,Tasiilaq,65.61,-37.64,33.8,74,99,1.81,GL,2020-09-13 02:11:40
3,Kodiak,57.79,-152.41,60.8,48,1,6.93,US,2020-09-13 02:13:01
4,Hobart,-42.88,147.33,59.0,41,20,19.46,AU,2020-09-13 02:12:30
5,Chichibu,35.99,139.08,75.99,83,90,5.99,JP,2020-09-13 02:13:01
6,Quatre Cocos,-20.21,57.76,68.0,88,40,2.24,MU,2020-09-13 02:13:02
7,Ushuaia,-54.8,-68.3,41.0,89,75,6.93,AR,2020-09-13 02:08:45
8,Ribeira Grande,38.52,-28.7,71.15,78,35,7.85,PT,2020-09-13 02:13:02
9,Vao,-22.67,167.48,67.96,81,100,20.8,NC,2020-09-13 02:13:03
10,Puerto Ayora,-0.74,-90.35,66.99,91,98,5.01,EC,2020-09-13 02:13:03
11,Diapaga,12.07,1.79,76.5,83,5,5.21,BF,2020-09-13 02:13:04
12,Upernavik,72.79,-56.15,30.74,95,100,9.53,GL,2020-09-13 02:12:04
13,Ondjiva,-17.07,15.73,60.37,30,0,4.45,AO,2020-09-13 02:13:05
14,Ko Samui,9.54,99.94,82.4,78,20,11.12,TH,2020-09-13 02:13:05
15,New Norfolk,-42.78,147.06,59.0,47,41,5.99,AU,2020-09-13 02:12:24
16,Sioux Lookout,50.1,-91.92,55.4,93,20,4.7,CA,2020-09-13 02:13:06
17,Atuona,-9.8,-139.03,78.48,73,3,16.28,PF,2020-09-13 02:13:06
18,Albany,42.6,-73.97,62.01,99,0,7.0,US,2020-09-13 02:08:45
19,Vardo,70.37,31.11,48.04,78,97,2.57,NO,2020-09-13 02:13:08
20,East London,-33.02,27.91,73.56,39,4,4.68,ZA,2020-09-13 02:13:08
21,Sobolevo,54.43,31.9,50.63,81,26,12.17,RU,2020-09-13 02:13:09
22,Rikitea,-23.12,-134.97,73.56,82,47,10.65,PF,2020-09-13 02:13:09
23,Lebu,-37.62,-73.65,47.07,80,45,8.88,CL,2020-09-13 02:13:09
24,Aksarka,66.56,67.8,48.76,91,100,12.97,RU,2020-09-13 02:13:10
25,Pevek,69.7,170.31,44.26,79,0,3.83,RU,2020-09-13 02:13:10
26,Tahta,26.77,31.5,78.44,31,0,6.89,EG,2020-09-13 02:13:10
27,Punta Arenas,-53.15,-70.92,39.2,93,100,18.34,CL,2020-09-13 02:13:11
28,Hasaki,35.73,140.83,81.0,88,75,3.36,JP,2020-09-13 02:12:01
29,Bambous Virieux,-20.34,57.76,68.0,88,40,2.24,MU,2020-09-13 02:13:12
30,Khatanga,71.97,102.5,52.5,66,56,7.36,RU,2020-09-13 02:13:12
31,Shahreza,32.03,51.88,54.21,41,0,1.03,IR,2020-09-13 02:13:12
32,Avera,33.19,-82.53,77.0,100,1,5.82,US,2020-09-13 02:13:12
33,Hermanus,-34.42,19.23,57.99,83,80,7.0,ZA,2020-09-13 02:13:13
34,Bin Qirdan,33.14,11.22,75.24,76,0,3.51,TN,2020-09-13 02:13:13
